Category Name,Number of Schemes,Category URL
"Agriculture,Rural & Environment",417 Schemes,"https://www.myscheme.gov.in/search/category/Agriculture,Rural%20&%20Environment"
"Banking,Financial Services and Insurance",214 Schemes,"https://www.myscheme.gov.in/search/category/Banking,Financial%20Services%20and%20Insurance"
Business & Entrepreneurship,442 Schemes,https://www.myscheme.gov.in/search/category/Business%20&%20Entrepreneurship
Education & Learning,768 Schemes,https://www.myscheme.gov.in/search/category/Education%20&%20Learning
Health & Wellness,214 Schemes,https://www.myscheme.gov.in/search/category/Health%20&%20Wellness
Housing & Shelter,93 Schemes,https://www.myscheme.gov.in/search/category/Housing%20&%20Shelter
"Public Safety,Law & Justice",10 Schemes,"https://www.myscheme.gov.in/search/category/Public%20Safety,Law%20&%20Justice"
"Science, IT & Communications",61 Schemes,"https://www.myscheme.gov.in/search/category/Science,%20IT%20&%20Communications"
Skills & Employment,251 Schemes,https://www.myscheme.gov.in/search/category/Skills%20&%20Employment
Social welfare & Empowerment,1235 Schemes,https://www.myscheme.gov.in/search/category/Social%20welfare%20&%20Empowerment
Sports & Culture,116 Schemes,https://www.myscheme.gov.in/search/category/Sports%20&%20Culture
Transport & Infrastructure,52 Schemes,https://www.myscheme.gov.in/search/category/Transport%20&%20Infrastructure
Travel & Tourism,35 Schemes,https://www.myscheme.gov.in/search/category/Travel%20&%20Tourism
Utility & Sanitation,35 Schemes,https://www.myscheme.gov.in/search/category/Utility%20&%20Sanitation
Women and Child,362 Schemes,https://www.myscheme.gov.in/search/category/Women%20and%20Child
